ciudad,temperatura,descripcion,humedad,viento,presion,created_at,nivel,congestion,mensaje
Madrid,25.9,cielo claro,38,7.1,,2024-07-06 00:00:00,Bajo,23,Tráfico fluido.
Vigo,18.0,nublado,82,17.3,,2024-07-06 00:00:00,Bajo,20,Tráfico fluido.
Madrid,25.9,cielo claro,38,7.1,,2024-07-06 00:00:00,Bajo,23,Tráfico fluido.
Vigo,18.0,nublado,82,17.3,,2024-07-06 00:00:00,Bajo,20,Tráfico fluido.
Madrid,25.9,cielo claro,43,4.5,,2024-07-06 01:00:00,Bajo,23,Tráfico fluido.
Vigo,17.9,nublado,80,16.5,,2024-07-06 01:00:00,Bajo,20,Tráfico fluido.
Madrid,25.9,cielo claro,43,4.5,,2024-07-06 01:00:00,Bajo,23,Tráfico fluido.
Vigo,17.9,nublado,80,16.5,,2024-07-06 01:00:00,Bajo,20,Tráfico fluido.
Madrid,24.7,cielo claro,48,5.1,,2024-07-06 02:00:00,Bajo,23,Tráfico fluido.
Vigo,18.3,nublado,80,10.0,,2024-07-06 02:00:00,Bajo,15,Tráfico fluido.
Madrid,24.7,cielo claro,48,5.1,,2024-07-06 02:00:00,Bajo,23,Tráfico fluido.
Vigo,18.3,nublado,80,10.0,,2024-07-06 02:00:00,Bajo,15,Tráfico fluido.
Madrid,24.0,cielo claro,49,10.7,,2024-07-06 03:00:00,Bajo,28,Tráfico fluido.
Vigo,18.3,nublado,81,7.3,,2024-07-06 03:00:00,Bajo,15,Tráfico fluido.
Madrid,24.0,cielo claro,49,10.7,,2024-07-06 03:00:00,Bajo,28,Tráfico fluido.
Vigo,18.3,nublado,81,7.3,,2024-07-06 03:00:00,Bajo,15,Tráfico fluido.
Madrid,23.2,cielo claro,49,8.3,,2024-07-06 04:00:00,Bajo,23,Tráfico fluido.
Vigo,17.9,nublado,87,6.6,,2024-07-06 04:00:00,Bajo,15,Tráfico fluido.
Madrid,23.2,cielo claro,49,8.3,,2024-07-06 04:00:00,Bajo,23,Tráfico fluido.
Vigo,17.9,nublado,87,6.6,,2024-07-06 04:00:00,Bajo,15,Tráfico fluido.
Madrid,22.6,cielo claro,47,7.2,,2024-07-06 05:00:00,Bajo,23,Tráfico fluido.
Vigo,17.8,lluvia,89,11.6,,2024-07-06 05:00:00,Bajo,32,Tráfico fluido.
Madrid,22.6,cielo claro,47,7.2,,2024-07-06 05:00:00,Bajo,23,Tráfico fluido.
Vigo,17.8,lluvia,89,11.6,,2024-07-06 05:00:00,Bajo,32,Tráfico fluido.
Madrid,23.5,cielo claro,44,11.2,,2024-07-06 06:00:00,Bajo,28,Tráfico fluido.
Vigo,17.9,lluvia,81,17.0,,2024-07-06 06:00:00,Bajo,32,Tráfico fluido.
Madrid,23.5,cielo claro,44,11.2,,2024-07-06 06:00:00,Bajo,28,Tráfico fluido.
Vigo,17.9,lluvia,81,17.0,,2024-07-06 06:00:00,Bajo,32,Tráfico fluido.
Madrid,25.4,cielo claro,41,14.2,,2024-07-06 07:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,17.7,nublado,78,15.9,,2024-07-06 07:00:00,Medio,50,Condiciones normales de tráfico.
Madrid,25.4,cielo claro,41,14.2,,2024-07-06 07:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,17.7,nublado,78,15.9,,2024-07-06 07:00:00,Medio,50,Condiciones normales de tráfico.
Madrid,26.8,cielo claro,41,15.5,,2024-07-06 08:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,17.8,nublado,74,17.7,,2024-07-06 08:00:00,Medio,50,Condiciones normales de tráfico.
Madrid,26.8,cielo claro,41,15.5,,2024-07-06 08:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,17.8,nublado,74,17.7,,2024-07-06 08:00:00,Medio,50,Condiciones normales de tráfico.
Madrid,28.4,cielo claro,38,15.4,,2024-07-06 09:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,18.4,nublado,69,19.1,,2024-07-06 09:00:00,Medio,50,Condiciones normales de tráfico.
Madrid,28.4,cielo claro,38,15.4,,2024-07-06 09:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,18.4,nublado,69,19.1,,2024-07-06 09:00:00,Medio,50,Condiciones normales de tráfico.
Madrid,29.9,cielo claro,34,15.0,,2024-07-06 10:00:00,Bajo,28,Tráfico fluido.
Vigo,19.6,cielo claro,62,19.5,,2024-07-06 10:00:00,Bajo,20,Tráfico fluido.
Madrid,29.9,cielo claro,34,15.0,,2024-07-06 10:00:00,Bajo,28,Tráfico fluido.
Vigo,19.6,cielo claro,62,19.5,,2024-07-06 10:00:00,Bajo,20,Tráfico fluido.
Madrid,31.1,cielo claro,30,15.9,,2024-07-06 11:00:00,Bajo,28,Tráfico fluido.
Vigo,21.8,cielo claro,51,18.1,,2024-07-06 11:00:00,Bajo,20,Tráfico fluido.
Madrid,31.1,cielo claro,30,15.9,,2024-07-06 11:00:00,Bajo,28,Tráfico fluido.
Vigo,21.8,cielo claro,51,18.1,,2024-07-06 11:00:00,Bajo,20,Tráfico fluido.
Madrid,32.2,cielo claro,27,19.1,,2024-07-06 12:00:00,Bajo,28,Tráfico fluido.
Vigo,22.8,cielo claro,46,17.0,,2024-07-06 12:00:00,Bajo,20,Tráfico fluido.
Madrid,32.2,cielo claro,27,19.1,,2024-07-06 12:00:00,Bajo,28,Tráfico fluido.
Vigo,22.8,cielo claro,46,17.0,,2024-07-06 12:00:00,Bajo,20,Tráfico fluido.
Madrid,33.0,cielo claro,20,18.7,,2024-07-06 13:00:00,Bajo,28,Tráfico fluido.
Vigo,23.7,cielo claro,43,16.9,,2024-07-06 13:00:00,Bajo,20,Tráfico fluido.
Madrid,33.0,cielo claro,20,18.7,,2024-07-06 13:00:00,Bajo,28,Tráfico fluido.
Vigo,23.7,cielo claro,43,16.9,,2024-07-06 13:00:00,Bajo,20,Tráfico fluido.
Madrid,33.6,cielo claro,18,19.2,,2024-07-06 14:00:00,Bajo,28,Tráfico fluido.
Vigo,22.9,nublado,44,19.4,,2024-07-06 14:00:00,Bajo,20,Tráfico fluido.
Madrid,33.6,cielo claro,18,19.2,,2024-07-06 14:00:00,Bajo,28,Tráfico fluido.
Vigo,22.9,nublado,44,19.4,,2024-07-06 14:00:00,Bajo,20,Tráfico fluido.
Madrid,33.5,cielo claro,18,16.9,,2024-07-06 15:00:00,Bajo,28,Tráfico fluido.
Vigo,23.1,cielo claro,43,19.1,,2024-07-06 15:00:00,Bajo,20,Tráfico fluido.
Madrid,33.5,cielo claro,18,16.9,,2024-07-06 15:00:00,Bajo,28,Tráfico fluido.
Vigo,23.1,cielo claro,43,19.1,,2024-07-06 15:00:00,Bajo,20,Tráfico fluido.
Madrid,32.9,nublado,21,18.2,,2024-07-06 16:00:00,Alto,63,Tráfico pesado.
Vigo,23.3,nublado,41,19.4,,2024-07-06 16:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,32.9,nublado,21,18.2,,2024-07-06 16:00:00,Alto,63,Tráfico pesado.
Vigo,23.3,nublado,41,19.4,,2024-07-06 16:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,31.1,nublado,25,18.6,,2024-07-06 17:00:00,Alto,63,Tráfico pesado.
Vigo,22.7,cielo claro,42,20.5,,2024-07-06 17:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,31.1,nublado,25,18.6,,2024-07-06 17:00:00,Alto,63,Tráfico pesado.
Vigo,22.7,cielo claro,42,20.5,,2024-07-06 17:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,29.1,lluvia,29,15.3,,2024-07-06 18:00:00,Alto,75,Tráfico pesado.
Vigo,21.3,cielo claro,46,20.9,,2024-07-06 18:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,29.1,lluvia,29,15.3,,2024-07-06 18:00:00,Alto,75,Tráfico pesado.
Vigo,21.3,cielo claro,46,20.9,,2024-07-06 18:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,27.8,cielo claro,34,16.7,,2024-07-06 19:00:00,Bajo,28,Tráfico fluido.
Vigo,19.7,cielo claro,50,20.9,,2024-07-06 19:00:00,Bajo,20,Tráfico fluido.
Madrid,27.8,cielo claro,34,16.7,,2024-07-06 19:00:00,Bajo,28,Tráfico fluido.
Vigo,19.7,cielo claro,50,20.9,,2024-07-06 19:00:00,Bajo,20,Tráfico fluido.
Madrid,25.2,nublado,46,21.3,,2024-07-06 20:00:00,Bajo,28,Tráfico fluido.
Vigo,18.0,cielo claro,54,19.1,,2024-07-06 20:00:00,Bajo,20,Tráfico fluido.
Madrid,25.2,nublado,46,21.3,,2024-07-06 20:00:00,Bajo,28,Tráfico fluido.
Vigo,18.0,cielo claro,54,19.1,,2024-07-06 20:00:00,Bajo,20,Tráfico fluido.
Madrid,23.3,cielo claro,56,22.1,,2024-07-06 21:00:00,Bajo,28,Tráfico fluido.
Vigo,16.7,cielo claro,59,17.3,,2024-07-06 21:00:00,Bajo,20,Tráfico fluido.
Madrid,23.3,cielo claro,56,22.1,,2024-07-06 21:00:00,Bajo,28,Tráfico fluido.
Vigo,16.7,cielo claro,59,17.3,,2024-07-06 21:00:00,Bajo,20,Tráfico fluido.
Madrid,22.0,cielo claro,54,22.4,,2024-07-06 22:00:00,Bajo,28,Tráfico fluido.
Vigo,15.9,cielo claro,62,15.9,,2024-07-06 22:00:00,Bajo,20,Tráfico fluido.
Madrid,22.0,cielo claro,54,22.4,,2024-07-06 22:00:00,Bajo,28,Tráfico fluido.
Vigo,15.9,cielo claro,62,15.9,,2024-07-06 22:00:00,Bajo,20,Tráfico fluido.
Madrid,20.6,cielo claro,56,19.1,,2024-07-06 23:00:00,Bajo,28,Tráfico fluido.
Vigo,15.2,cielo claro,67,15.2,,2024-07-06 23:00:00,Bajo,20,Tráfico fluido.
Madrid,20.6,cielo claro,56,19.1,,2024-07-06 23:00:00,Bajo,28,Tráfico fluido.
Vigo,15.2,cielo claro,67,15.2,,2024-07-06 23:00:00,Bajo,20,Tráfico fluido.
Madrid,19.2,cielo claro,58,18.5,,2024-07-07 00:00:00,Bajo,28,Tráfico fluido.
Vigo,14.5,cielo claro,72,13.0,,2024-07-07 00:00:00,Bajo,20,Tráfico fluido.
Madrid,19.2,cielo claro,58,18.5,,2024-07-07 00:00:00,Bajo,28,Tráfico fluido.
Vigo,14.5,cielo claro,72,13.0,,2024-07-07 00:00:00,Bajo,20,Tráfico fluido.
Madrid,18.2,cielo claro,63,17.8,,2024-07-07 01:00:00,Bajo,28,Tráfico fluido.
Vigo,14.0,cielo claro,76,12.0,,2024-07-07 01:00:00,Bajo,20,Tráfico fluido.
Madrid,18.2,cielo claro,63,17.8,,2024-07-07 01:00:00,Bajo,28,Tráfico fluido.
Vigo,14.0,cielo claro,76,12.0,,2024-07-07 01:00:00,Bajo,20,Tráfico fluido.
Madrid,17.6,cielo claro,64,16.7,,2024-07-07 02:00:00,Bajo,28,Tráfico fluido.
Vigo,13.7,cielo claro,79,9.0,,2024-07-07 02:00:00,Bajo,15,Tráfico fluido.
Madrid,17.6,cielo claro,64,16.7,,2024-07-07 02:00:00,Bajo,28,Tráfico fluido.
Vigo,13.7,cielo claro,79,9.0,,2024-07-07 02:00:00,Bajo,15,Tráfico fluido.
Madrid,17.2,cielo claro,65,16.6,,2024-07-07 03:00:00,Bajo,28,Tráfico fluido.
Vigo,13.3,cielo claro,81,8.0,,2024-07-07 03:00:00,Bajo,15,Tráfico fluido.
Madrid,17.2,cielo claro,65,16.6,,2024-07-07 03:00:00,Bajo,28,Tráfico fluido.
Vigo,13.3,cielo claro,81,8.0,,2024-07-07 03:00:00,Bajo,15,Tráfico fluido.
Madrid,16.7,cielo claro,67,15.6,,2024-07-07 04:00:00,Bajo,28,Tráfico fluido.
Vigo,12.9,cielo claro,83,7.3,,2024-07-07 04:00:00,Bajo,15,Tráfico fluido.
Madrid,16.7,cielo claro,67,15.6,,2024-07-07 04:00:00,Bajo,28,Tráfico fluido.
Vigo,12.9,cielo claro,83,7.3,,2024-07-07 04:00:00,Bajo,15,Tráfico fluido.
Madrid,16.4,cielo claro,68,15.2,,2024-07-07 05:00:00,Bajo,28,Tráfico fluido.
Vigo,12.5,cielo claro,86,6.4,,2024-07-07 05:00:00,Bajo,15,Tráfico fluido.
Madrid,16.4,cielo claro,68,15.2,,2024-07-07 05:00:00,Bajo,28,Tráfico fluido.
Vigo,12.5,cielo claro,86,6.4,,2024-07-07 05:00:00,Bajo,15,Tráfico fluido.
Madrid,17.1,cielo claro,65,13.0,,2024-07-07 06:00:00,Bajo,28,Tráfico fluido.
Vigo,13.0,cielo claro,83,7.8,,2024-07-07 06:00:00,Bajo,15,Tráfico fluido.
Madrid,17.1,cielo claro,65,13.0,,2024-07-07 06:00:00,Bajo,28,Tráfico fluido.
Vigo,13.0,cielo claro,83,7.8,,2024-07-07 06:00:00,Bajo,15,Tráfico fluido.
Madrid,19.1,cielo claro,60,11.8,,2024-07-07 07:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,14.8,cielo claro,74,7.3,,2024-07-07 07:00:00,Medio,45,Condiciones normales de tráfico.
Madrid,19.1,cielo claro,60,11.8,,2024-07-07 07:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,14.8,cielo claro,74,7.3,,2024-07-07 07:00:00,Medio,45,Condiciones normales de tráfico.
Madrid,21.2,cielo claro,58,6.5,,2024-07-07 08:00:00,Medio,53,Condiciones normales de tráfico.
Vigo,16.8,cielo claro,64,10.8,,2024-07-07 08:00:00,Medio,50,Condiciones normales de tráfico.
Madrid,21.2,cielo claro,58,6.5,,2024-07-07 08:00:00,Medio,53,Condiciones normales de tráfico.
Vigo,16.8,cielo claro,64,10.8,,2024-07-07 08:00:00,Medio,50,Condiciones normales de tráfico.
Madrid,23.1,cielo claro,52,3.1,,2024-07-07 09:00:00,Medio,53,Condiciones normales de tráfico.
Vigo,18.5,cielo claro,55,11.5,,2024-07-07 09:00:00,Medio,50,Condiciones normales de tráfico.
Madrid,23.1,cielo claro,52,3.1,,2024-07-07 09:00:00,Medio,53,Condiciones normales de tráfico.
Vigo,18.5,cielo claro,55,11.5,,2024-07-07 09:00:00,Medio,50,Condiciones normales de tráfico.
Madrid,25.4,cielo claro,43,4.1,,2024-07-07 10:00:00,Bajo,23,Tráfico fluido.
Vigo,20.0,cielo claro,50,10.2,,2024-07-07 10:00:00,Bajo,20,Tráfico fluido.
Madrid,25.4,cielo claro,43,4.1,,2024-07-07 10:00:00,Bajo,23,Tráfico fluido.
Vigo,20.0,cielo claro,50,10.2,,2024-07-07 10:00:00,Bajo,20,Tráfico fluido.
Madrid,27.9,cielo claro,31,9.0,,2024-07-07 11:00:00,Bajo,23,Tráfico fluido.
Vigo,21.2,nublado,46,12.1,,2024-07-07 11:00:00,Bajo,20,Tráfico fluido.
